time_hours,type_i,type_ia,type_ii,type_iii
0.0,0.0,0.0,0.0,0.0
0.1,0.00174,0.00224,0.00101,0.001
0.2,0.00348,0.00432,0.00202,0.002
0.3,0.00522,0.00628,0.00305,0.003
0.4,0.00697,0.00816,0.00408,0.004
0.5,0.00871,0.01,0.00513,0.005
0.6,0.01046,0.01184,0.00618,0.006
0.7,0.0122,0.01372,0.00725,0.007
0.8,0.01395,0.01568,0.00832,0.008
0.9,0.0157,0.01776,0.00941,0.009
1.0,0.01745,0.02,0.0105,0.01
1.1,0.0192,0.02276,0.01161,0.011
1.2,0.02095,0.02568,0.01272,0.012
1.3,0.0227,0.02872,0.01385,0.013
1.4,0.02446,0.03184,0.01498,0.014
1.5,0.02621,0.035,0.01613,0.015
1.6,0.02797,0.03797,0.01728,0.016
1.7,0.02972,0.04095,0.01845,0.017
1.8,0.03148,0.04394,0.01962,0.018
1.9,0.03324,0.04695,0.02081,0.019
2.0,0.035,0.05,0.022,0.02
2.1,0.03677,0.05315,0.02321,0.02101
2.2,0.03858,0.05633,0.02442,0.02203
2.3,0.04041,0.05954,0.02565,0.02307
2.4,0.04227,0.06276,0.02688,0.02412
2.5,0.04416,0.066,0.02813,0.02519
2.6,0.04608,0.0692,0.02938,0.02627
2.7,0.04803,0.0724,0.03065,0.02737
2.8,0.05001,0.0756,0.03192,0.02848
2.9,0.05201,0.0788,0.03321,0.02961
3.0,0.05405,0.082,0.0345,0.03075
3.1,0.05611,0.08514,0.03581,0.03191
3.2,0.05821,0.08829,0.03712,0.03308
3.3,0.06033,0.09147,0.03845,0.03427
3.4,0.06248,0.09471,0.03978,0.03547
3.5,0.06466,0.098,0.04113,0.03669
3.6,0.06687,0.10147,0.04248,0.03792
3.7,0.06911,0.10502,0.04385,0.03917
3.8,0.07138,0.10862,0.04522,0.04043
3.9,0.07367,0.11229,0.04661,0.04171
4.0,0.076,0.116,0.048,0.043
4.1,0.07835,0.11969,0.04941,0.04431
4.2,0.0807,0.12342,0.05084,0.04563
4.3,0.08307,0.12721,0.05229,0.04697
4.4,0.08545,0.13107,0.05376,0.04832
4.5,0.08784,0.135,0.05525,0.04969
4.6,0.09024,0.13901,0.05676,0.05107
4.7,0.09265,0.1431,0.05829,0.05247
4.8,0.09507,0.14729,0.05984,0.05388
4.9,0.09751,0.15159,0.06141,0.05531
5.0,0.09995,0.156,0.063,0.05675
5.1,0.10241,0.16059,0.06461,0.05821
5.2,0.10487,0.1653,0.06624,0.05968
5.3,0.10735,0.17011,0.06789,0.06117
5.4,0.10984,0.17501,0.06956,0.06267
5.5,0.11234,0.18,0.07125,0.06419
5.6,0.11485,0.18494,0.07296,0.06572
5.7,0.11737,0.18999,0.07469,0.06727
5.8,0.1199,0.19517,0.07644,0.06883
5.9,0.12245,0.20049,0.07821,0.07041
6.0,0.125,0.206,0.08,0.072
6.1,0.12761,0.21196,0.08181,0.07363
6.2,0.13034,0.21808,0.08364,0.0753
6.3,0.13317,0.22432,0.08549,0.07703
6.4,0.1361,0.23064,0.08736,0.0788
6.5,0.13915,0.237,0.08925,0.08063
6.6,0.1423,0.24285,0.09116,0.0825
6.7,0.14557,0.24878,0.09309,0.08443
6.8,0.14894,0.2549,0.09504,0.0864
6.9,0.15241,0.26127,0.09701,0.08843
7.0,0.156,0.268,0.099,0.0905
7.1,0.15966,0.27517,0.10101,0.09263
7.2,0.16334,0.28287,0.10304,0.0948
7.3,0.16706,0.29118,0.10509,0.09703
7.4,0.17082,0.30019,0.10716,0.0993
7.5,0.1746,0.31,0.10925,0.10163
7.6,0.17842,0.33142,0.11136,0.104
7.7,0.18226,0.35469,0.11349,0.10643
7.8,0.18614,0.37876,0.11564,0.1089
7.9,0.19006,0.40255,0.11781,0.11143
8.0,0.194,0.425,0.12,0.114
8.1,0.19817,0.43936,0.12225,0.11666
8.2,0.20275,0.45168,0.1246,0.11943
8.3,0.20775,0.46232,0.12705,0.12232
8.4,0.21317,0.47164,0.1296,0.12532
8.5,0.219,0.48,0.13225,0.12844
8.6,0.22523,0.48904,0.135,0.13167
8.7,0.23185,0.49752,0.13785,0.13502
8.8,0.23885,0.50548,0.1408,0.13848
8.9,0.24623,0.51296,0.14385,0.14206
9.0,0.254,0.52,0.147,0.14575
9.1,0.26233,0.52664,0.1502,0.14956
9.2,0.27139,0.53292,0.1534,0.15348
9.3,0.28119,0.53888,0.1566,0.15752
9.4,0.29173,0.54456,0.1598,0.16167
9.5,0.303,0.55,0.163,0.16594
9.6,0.31942,0.55564,0.16628,0.17032
9.7,0.34542,0.56116,0.16972,0.17482
9.8,0.38784,0.56656,0.17332,0.17943
9.9,0.46316,0.57184,0.17708,0.18416
10.0,0.515,0.577,0.181,0.189
10.1,0.5322,0.58198,0.18512,0.19402
10.2,0.5476,0.58685,0.18948,0.19928
10.3,0.5612,0.59163,0.19408,0.20478
10.4,0.573,0.59635,0.19892,0.21052
10.5,0.583,0.601,0.204,0.2165
10.6,0.59188,0.60576,0.2094,0.22272
10.7,0.60032,0.61044,0.2152,0.22918
10.8,0.60832,0.61504,0.2214,0.23588
10.9,0.61588,0.61956,0.228,0.24282
11.0,0.623,0.624,0.235,0.25
11.1,0.62982,0.62836,0.24268,0.25776
11.2,0.63648,0.63264,0.25132,0.26644
11.3,0.64298,0.63684,0.26092,0.27604
11.4,0.64932,0.64096,0.27148,0.28656
11.5,0.6555,0.645,0.283,0.298
11.6,0.66152,0.64889,0.30684,0.3143
11.7,0.66738,0.65272,0.35436,0.3394
11.8,0.67308,0.65651,0.43079,0.3733
11.9,0.67862,0.66026,0.56786,0.416
12.0,0.684,0.664,0.663,0.5
12.1,0.68925,0.66773,0.68196,0.584
12.2,0.6944,0.67148,0.69864,0.6267
12.3,0.69945,0.67527,0.71304,0.6606
12.4,0.7044,0.6791,0.72516,0.6857
12.5,0.70925,0.683,0.735,0.702
12.6,0.714,0.68665,0.74344,0.71344
12.7,0.71865,0.69027,0.75136,0.72396
12.8,0.7232,0.69386,0.75876,0.73356
12.9,0.72765,0.69744,0.76564,0.74224
13.0,0.732,0.701,0.772,0.75
13.1,0.73625,0.70473,0.77796,0.75718
13.2,0.7404,0.70838,0.78364,0.76412
13.3,0.74445,0.71198,0.78904,0.77082
13.4,0.7484,0.71551,0.79416,0.77728
13.5,0.75225,0.719,0.799,0.7835
13.6,0.756,0.72245,0.8036,0.78948
13.7,0.75965,0.72586,0.808,0.79522
13.8,0.7632,0.72926,0.8122,0.80072
13.9,0.76665,0.73263,0.8162,0.80598
14.0,0.77,0.736,0.82,0.811
14.1,0.77329,0.73939,0.82367,0.81584
14.2,0.77656,0.74277,0.82726,0.82057
14.3,0.77981,0.74613,0.83079,0.82518
14.4,0.78304,0.74948,0.83424,0.82968
14.5,0.78625,0.75281,0.83763,0.83406
14.6,0.78944,0.75613,0.84094,0.83833
14.7,0.79261,0.75943,0.84419,0.84248
14.8,0.79576,0.76271,0.84736,0.84652
14.9,0.79889,0.76598,0.85047,0.85044
15.0,0.802,0.76924,0.8535,0.85425
15.1,0.80509,0.77248,0.85647,0.85794
15.2,0.80816,0.77571,0.85936,0.86152
15.3,0.81121,0.77892,0.86219,0.86498
15.4,0.81424,0.78211,0.86494,0.86833
15.5,0.81725,0.78529,0.86763,0.87156
15.6,0.82024,0.78845,0.87024,0.87468
15.7,0.82321,0.7916,0.87279,0.87768
15.8,0.82616,0.79474,0.87526,0.88057
15.9,0.82909,0.79786,0.87767,0.88334
16.0,0.832,0.80096,0.88,0.886
16.1,0.83489,0.80405,0.88229,0.88858
16.2,0.83776,0.80712,0.88455,0.8911
16.3,0.84061,0.81018,0.88679,0.89358
16.4,0.84344,0.81322,0.889,0.896
16.5,0.84625,0.81625,0.89119,0.89838
16.6,0.84904,0.81926,0.89335,0.9007
16.7,0.85181,0.82226,0.89549,0.90298
16.8,0.85456,0.82524,0.8976,0.9052
16.9,0.85729,0.82821,0.89969,0.90738
17.0,0.86,0.83116,0.90175,0.9095
17.1,0.86269,0.8341,0.90379,0.91158
17.2,0.86536,0.83702,0.9058,0.9136
17.3,0.86801,0.83992,0.90779,0.91558
17.4,0.87064,0.84281,0.90975,0.9175
17.5,0.87325,0.84569,0.91169,0.91938
17.6,0.87584,0.84855,0.9136,0.9212
17.7,0.87841,0.8514,0.91549,0.92298
17.8,0.88096,0.85423,0.91735,0.9247
17.9,0.88349,0.85704,0.91919,0.92638
18.0,0.886,0.85984,0.921,0.928
18.1,0.88849,0.86262,0.92279,0.92959
18.2,0.89096,0.86539,0.92455,0.93117
18.3,0.89341,0.86815,0.92629,0.93273
18.4,0.89584,0.87089,0.928,0.93428
18.5,0.89825,0.87361,0.92969,0.93581
18.6,0.90064,0.87632,0.93135,0.93733
18.7,0.90301,0.87901,0.93299,0.93883
18.8,0.90536,0.88169,0.9346,0.94032
18.9,0.90769,0.88435,0.93619,0.94179
19.0,0.91,0.887,0.93775,0.94325
19.1,0.91229,0.88963,0.93929,0.94469
19.2,0.91456,0.89225,0.9408,0.94612
19.3,0.91681,0.89485,0.94229,0.94753
19.4,0.91904,0.89744,0.94375,0.94893
19.5,0.92125,0.90001,0.94519,0.95031
19.6,0.92344,0.90257,0.9466,0.95168
19.7,0.92561,0.90511,0.94799,0.95303
19.8,0.92776,0.90763,0.94935,0.95437
19.9,0.92989,0.91014,0.95069,0.95569
20.0,0.932,0.91264,0.952,0.957
20.1,0.93409,0.91512,0.9533,0.95829
20.2,0.93616,0.91759,0.95459,0.95958
